w3_id1	W3_id2	W3_id3	W3_id4	w3_ind1	w3_team	w3_posit	W301_01	W301_02	W302_01	W302_02	W303_01	W303_02	W304	W305_01	W305_02	W306_01	W306_02	W306_03	W306_04	W306_05	W306_06	W306_07	W306_08	W307	W308_01	W308_02	W308_03	W308_04	W308_05	W308_06	W308_07	W308_08	W308_09	W308_10	W308_11	W308_12	W308_13	W308_14	W309_01	W309_02	W309_03	W309_04	W309_05	W309_06	W309_07	W309_08	W310_01	W310_02	W311_01	W311_02	W311_03	W311_04	W311_05	W311_06	W311_07	W311_08	W311_09	W311_10	W311_11	W311_12	W311_13	W311_14	W312	W313_01	W313_02	W313_03	W313_04	W313_05	W314_01	W314_02	W314_03	W314_04	W314_05	W314_06	W314_07	W314_08	W314_09	W314_10	W314_11	W314_12	W314_13	W314_14	W314_15	W314_16	W314_17	W314_18	W314_19	W314_20	W314_21	W314_22	W314_23	W314_24	W315_01	W315_02	W315_03	W315_04	W315_05	W315_06	W315_07	W315_08	W316	W317	W318_01	W318_02	W319	w320_01	w320_02	w320_03	W320_04	W320_05	W320_06	W320_07	W321	W322	W323	W324_01	W324_02	W324_03	W324_04	W324_05	W324_06	W325_01	W325_02	W325_03	W325_04	W325_05	W325_06	W325_07	W325_08	W326_01	W326_02	W326_03	W327_01	W327_02	W327_03	W327_04	W327_05	W327_06	W328_01	W328_02	W328_03	W328_04	W329_01	W329_02	W329_03	W329_04	W330_01	W330_02	W330_03	W330_04	W330_05	W330_06	W330_07	W331_01	W331_02	W331_03	W331_04	W332_01	W332_02	W332_03	W332_04	W332_05	W332_06	W333	W334	W335	W336_01	W336_02	W337_01	W337_02	W3_sex	W3_birthy	W3_birthm	W3_marr	W3_edu	W3_sch	W3_maj	W3_mmaj	W3_dmaj
1	0	101	0	1	1	1	1995	7	2006	1	1	4	402	2000	2	4	4	5	4	4	4	4	4	3	5	4	4	5	4	5	5	5	5	5	5	4	5	5	3	4	5	4	5				2		1	3	1	4	2		2		2		2		2		5	4	4	4	5	4	4	4	2		2		2		2		1	3	1	3	2		2		2		2		2		1	4	2		2		2		3				1	19	1010	13	1993	1	4	1	2	2	1	4	5	5	5	4	4									4	4	4	5	4	4	2	4	4	1	4	4	4	4	4	4	4	4	3	3	4	2	3	3											1		2	40	13	4500		1	69	7	2	6	14510101	1040502		
1	0	101	1	1	1	3	2008	8	2008	8	3	3	403	2008	8	1	1	1	1	1	1	1	1																										2		2		2		2		2		2		2		1	4	3	3	1	3	4	4	2		2		2		2		1	4	1	4	2		2		1	4	1	4	2		2		2		2		2		1				2								4	2	4															3	1	1	1	4	3	1	3	3	4	1	5	3	3	1	5	4	3	3	3	4	3	3	2											1	2	2	40	0		250	1	67	7	2	3				
1	0	101	2	1	1	3	1995	8	2006	1	1	4	403	2000	2	4	4	4	3	4	3	4	4																										1	4	1	4	2		2		2		2		2		4	4	4	3	5	4	4	4	2		2		2		2		1	4	1	3	2		2		2		2		2		1	3	2		2		2		3				1	2	1070	19	1995	1	3	2	2	2	1															4	4	4	4	4	4	2	4	4	2	4	3	4	4	4	4	4	4	2	3	4	2	4	2											1	2	2	40	16	4400		1	70	7	2	6	14710301	1050202		
1	0	101	3	1	1	3	2008	1	2008	1	1	1	403	2008	1	2	2	2	2	2	1	3	2																										1	1	2		2		2		2		2		2		2	2	2	2	2	2	3	2	2		2		2		2		2		1	2	2		2		2		2		2		2		2		2		2		2				2								3	1	2															2	2	2	1	2	3	3	2	2	3	2	2	3	3	2	4	3	2	2	4	3	2	3	2											1	2	2	40	0		200	2	76	3	1	6	14510101	1050206		
1	0	101	4	1	1	3	2008	3	2008	3	1	1	403	2008	3	3	3	3	3	3	3	3	3																										1	2	2		2		2		2		2		2		3	3	3	3	3	3	4	4	2		2		2		2		1	3	1	2	2		2		2		2		2		2		2		2		2		3				2								3	3	3															3	3	3	4	4	4	3	3	4	2	3	3	3	3	3	3	3	3	2	2	4	4	4	2											1	2	2	40	4		208	1	81	1	2	6	14510201	1041001		
1	0	101	5	1	1	3	1995	12	2006	1	1	4	401	1996	6	4	5	2	2	2	3	4	4																										2		1	2	2		2		2		2		2		2	2	2	5	4	4	3	4	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		3				2								2	3	1															3	2	1	2	2	3	2	2	2	4	1	3	2	3	1	4	3	4	3	4	4	3	3	2											1	2	2	40	0	4300		1	69	6	2	6	64520904	1050302		
1	0	101	6	1	1	3	2008	1	2008	1	1	1	308	2008	1	2	2	2	2	2	2	3	3																										2		1	3	2		2		2		2		2		2	2	2	3	2	2	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2				2								3	1	3															2	2	2	2	2	3	3	2	3	4	2	4	2	3	3	4	3	3	3	4	4	3	4	4											1	2	2	40	8		166	2	82	8	1	6	14110104	1020101		
1	0	102	0	1	1	1	2007	11	2007	11	4	4	101	2007	11	3	3	3	3	3	3	3	4	3	4	2	4	4	3	3	5	5	5	4	3	4	4	4	3	4	3	3	4				2		2		1	2	2		2		2		2		2		2	3	3	2	3	3	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2				2								2	4	2	4	4	4	5	4	4									3	3	3	3	3	3	3	2	3	3	2	2	3	3	3	3	3	3	4	2	4	4	3	1											1		2	40	6	3500		1	74	6	1	7	14510101	1050302	3050202	
1	0	102	1	1	1	3	1987	9	1997	9	1	2	103	1987	9	4	5	4	3	4	2	4	4																										2		2		2		2		2		2		2		1	1	2	3	3	3	4	4	2		2		2		2		1	4	1	3	2		2		2		2		2		2		2		2		2		1				2								2	2	2															4	4	4	3	4	4	1	4	4	3	3	4	4	5	3	4	4	4	3	1	5	5	5	2											1	2	1	40	10	4800		1	64	4	2	5	-9	-9		
1	0	102	2	1	1	3	2008	1	2008	1	1	1	101	2008	1	3	1	1	3	1	1	3	1																										2		2		2		2		2		2		2		1	2	2	2	2	2	3	3	2		2		2		2		1	4	2		2		2		2		2		2		2		2		2		2		1				2								2	2	1															3	3	3	2	4	3	2	2	3	3	3	3	3	5	3	4	4	4	3	1	4	5	3	1											1	2	1	40	0		333	1	61	10	2	3				
